         203723 function calls (199165 primitive calls) in 14.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
       16    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.002    0.002 polynomial.py:57(<module>)
     4618    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      237    0.001    0.000    0.002    0.000 __init__.py:1315(_options)
    12467    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       43    0.000    0.000    0.002    0.000 JpegImagePlugin.py:390(load_read)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
      341    0.001    0.000    0.002    0.000 functools.py:37(update_wrapper)
      321    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
       43    0.000    0.000    0.002    0.000 parse.py:361(urlparse)
        1    0.000    0.000    0.002    0.002 charset.py:6(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:42(<module>)
      172    0.000    0.000    0.002    0.000 message.py:564(get_content_type)
       27    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      253    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
        1    0.000    0.000    0.002    0.002 GifImagePlugin.py:27(<module>)
      309    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       43    0.000    0.000    0.002    0.000 client.py:236(__init__)
        1    0.000    0.000    0.002    0.002 stringprep.py:6(<module>)
        3    0.000    0.000    0.002    0.001 glob.py:79(_glob1)
        1    0.000    0.000    0.002    0.002 selectors.py:5(<module>)
        1    0.000    0.000    0.002    0.002 nanfunctions.py:22(<module>)
      280    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
9843/9474    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      614    0.001    0.000    0.001    0.000 _inspect.py:67(getargs)
      645    0.001    0.000    0.001    0.000 _policybase.py:293(header_source_parse)
  823/780    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       43    0.000    0.000    0.001    0.000 __init__.py:2804(insert)
      172    0.001    0.000    0.001    0.000 client.py:1200(putheader)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
       86    0.001    0.000    0.001    0.000 socket.py:139(__init__)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
       43    0.001    0.000    0.001    0.000 parse.py:412(urlsplit)
       43    0.000    0.000    0.001    0.000 client.py:1071(putrequest)
      448    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       43    0.000    0.000    0.001    0.000 feedparser.py:184(close)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
       43    0.001    0.000    0.001    0.000 socket.py:221(makefile)
     2200    0.001    0.000    0.001    0.000 sre_parse.py:254(get)
       43    0.000    0.000    0.001    0.000 ssl.py:402(_encode_hostname)
     1072    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     2140    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.001    0.001 __init__.py:14(<module>)
       94    0.000    0.000    0.001    0.000 __init__.py:2164(place_configure)
      590    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      172    0.000    0.000    0.001    0.000 socket.py:97(_intenum_converter)
       43    0.001    0.000    0.001    0.000 {method 'setsockopt' of '_socket.socket' objects}
      271    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      565    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.001    0.001 fractions.py:4(<module>)
       43    0.000    0.000    0.001    0.000 request.py:349(full_url)
      253    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
      774    0.000    0.000    0.001    0.000 feedparser.py:128(__next__)
       37    0.000    0.000    0.001    0.000 abc.py:125(__new__)
     1006    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      129    0.000    0.000    0.001    0.000 message.py:588(get_content_maintype)
       43    0.000    0.000    0.001    0.000 feedparser.py:101(push)
      378    0.001    0.000    0.001    0.000 __init__.py:96(_cnfmerge)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        1    0.000    0.000    0.001    0.001 secrets.py:7(<module>)
      590    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
  418/143    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
        3    0.000    0.000    0.001    0.000 __init__.py:340(__init__)
       86    0.000    0.000    0.001    0.000 parse.py:977(splittype)
     1050    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      224    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
      301    0.000    0.000    0.001    0.000 _policybase.py:311(header_fetch_parse)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
     3844    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 scimath.py:17(<module>)
     2671    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
     8823    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      251    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
        1    0.000    0.000    0.001    0.001 ttk.py:655(__init__)
      281    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.001    0.001 error.py:12(<module>)
        1    0.000    0.000    0.001    0.001 request.py:575(build_opener)
     1072    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       86    0.000    0.000    0.001    0.000 ssl.py:549(verify_mode)
       96    0.001    0.000    0.001    0.000 __init__.py:2253(_setup)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
       43    0.000    0.000    0.001    0.000 feedparser.py:139(__init__)
        6    0.001    0.000    0.001    0.000 {built-in method nt.chdir}
       43    0.000    0.000    0.001    0.000 socket.py:432(family)
       86    0.001    0.000    0.001    0.000 idna.py:147(encode)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     2693    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.001    0.001 arraysetops.py:27(<module>)
      574    0.000    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
        1    0.000    0.000    0.001    0.001 messagebox.py:25(<module>)
        3    0.000    0.000    0.001    0.000 fnmatch.py:48(filter)
     2109    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 message.py:105(Message)
       12    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
     3844    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
      301    0.000    0.000    0.001    0.000 _policybase.py:281(_sanitize_header)
       46    0.000    0.000    0.001    0.000 glob.py:114(_iterdir)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
     1115    0.001    0.000    0.001    0.000 socket.py:614(readable)
      774    0.001    0.000    0.001    0.000 feedparser.py:78(readline)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
      402    0.001    0.000    0.001    0.000 enum.py:526(__new__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
     6039    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.001    0.001    0.001    0.001 TiffImagePlugin.py:1616(AppendingTiffWriter)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
       43    0.000    0.000    0.001    0.000 request.py:380(_parse)
       43    0.000    0.000    0.001    0.000 JpegImagePlugin.py:55(APP)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 app.py:103(retrieveDB)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
     5320    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.001    0.001 copy.py:49(<module>)
       43    0.000    0.000    0.001    0.000 JpegImagePlugin.py:184(SOF)
      186    0.001    0.000    0.001    0.000 {method 'tobytes' of 'memoryview' objects}
       50    0.000    0.000    0.001    0.000 __init__.py:1357(_register)
       86    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        2    0.000    0.000    0.001    0.000 fnmatch.py:38(_compile_pattern)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
      672    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      334    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      280    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
       43    0.000    0.000    0.001    0.000 message.py:382(__getitem__)
      224    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
