         167619 function calls (163127 primitive calls) in 13.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.013    0.001 ImageTk.py:85(__init__)
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
        1    0.000    0.000    0.012    0.012 multiarray.py:7(<module>)
        1    0.000    0.000    0.012    0.012 utils.py:5(<module>)
      224    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       21    0.000    0.000    0.011    0.001 ImageTk.py:151(paste)
    53/51    0.000    0.000    0.011    0.000 __init__.py:2302(destroy)
        1    0.000    0.000    0.011    0.011 __init__.py:3(<module>)
        1    0.000    0.000    0.010    0.010 defmatrix.py:1(<module>)
       65    0.000    0.000    0.009    0.000 sre_parse.py:919(parse)
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
    29/25    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
    29/25    0.002    0.000    0.009    0.000 {built-in method _imp.exec_dynamic}
   170/65    0.001    0.000    0.009    0.000 sre_parse.py:417(_parse_sub)
   199/72    0.003    0.000    0.008    0.000 sre_parse.py:475(_parse)
        1    0.000    0.000    0.008    0.008 bz2.py:5(<module>)
       91    0.008    0.000    0.008    0.000 {method 'write' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.008    0.008 __init__.py:15(<module>)
     1049    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x00007FFE347259A0}
       21    0.001    0.000    0.007    0.000 client.py:203(parse_headers)
       22    0.000    0.000    0.007    0.000 __init__.py:3540(__init__)
      321    0.001    0.000    0.007    0.000 textwrap.py:414(dedent)
       22    0.000    0.000    0.007    0.000 __init__.py:3484(__init__)
     5355    0.007    0.000    0.007    0.000 {method 'extend' of 'bytearray' objects}
        1    0.000    0.000    0.007    0.007 header.py:5(<module>)
       65    0.000    0.000    0.006    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.006    0.006 _distributor_init.py:7(<module>)
        1    0.000    0.000    0.006    0.006 linalg.py:10(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:23(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:41(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:10(<module>)
        1    0.000    0.000    0.006    0.006 _internal.py:6(<module>)
       21    0.000    0.000    0.006    0.000 parser.py:60(parsestr)
        1    0.000    0.000    0.006    0.006 ElementTree.py:34(<module>)
        1    0.000    0.000    0.006    0.006 JpegImagePlugin.py:34(<module>)
      271    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       21    0.000    0.000    0.006    0.000 ssl.py:398(__new__)
       21    0.000    0.000    0.005    0.000 parser.py:42(parse)
        1    0.000    0.000    0.005    0.005 socket.py:47(<module>)
        2    0.000    0.000    0.005    0.003 app.py:121(delete_but)
        1    0.000    0.000    0.005    0.005 dbapi2.py:23(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:91(<module>)
        1    0.000    0.000    0.005    0.005 threading.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:184(<module>)
        1    0.000    0.000    0.005    0.005 BmpImagePlugin.py:27(<module>)
        2    0.005    0.002    0.005    0.002 {method 'eval' of '_tkinter.tkapp' objects}
        2    0.000    0.000    0.005    0.002 function_base.py:1(<module>)
       12    0.004    0.000    0.004    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
        1    0.000    0.000    0.004    0.004 __init__.py:71(search_function)
   345/65    0.002    0.000    0.004    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.004    0.004 defchararray.py:17(<module>)
      287    0.001    0.000    0.004    0.000 overrides.py:72(verify_matching_signatures)
     2468    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      593    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       28    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       21    0.000    0.000    0.004    0.000 socket.py:406(_decref_socketios)
       21    0.000    0.000    0.004    0.000 feedparser.py:173(feed)
        1    0.000    0.000    0.004    0.004 py3k.py:4(<module>)
        1    0.000    0.000    0.004    0.004 webbrowser.py:2(<module>)
       42    0.000    0.000    0.004    0.000 socket.py:416(close)
       21    0.001    0.000    0.004    0.000 ssl.py:1128(_real_close)
      448    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
       21    0.004    0.000    0.004    0.000 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
       42    0.000    0.000    0.004    0.000 feedparser.py:178(_call_parse)
       27    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
       42    0.000    0.000    0.004    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.004    0.004 financial.py:12(<module>)
       12    0.000    0.000    0.004    0.000 enum.py:633(_convert)
      282    0.000    0.000    0.004    0.000 enum.py:284(__call__)
      663    0.004    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.003    0.003 TiffImagePlugin.py:41(<module>)
       16    0.002    0.000    0.003    0.000 enum.py:135(__new__)
        1    0.000    0.000    0.003    0.003 idna.py:3(<module>)
      281    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.003    0.003 message.py:5(<module>)
      477    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ttk.py:655(__init__)
       28    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.003    0.003 case.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
        2    0.000    0.000    0.003    0.001 app.py:125(delete_video_names)
      590    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:10(<module>)
      253    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       21    0.000    0.000    0.003    0.000 Image.py:2893(_open_core)
       21    0.000    0.000    0.003    0.000 request.py:325(__init__)
        1    0.000    0.000    0.003    0.003 _pocketfft.py:29(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:81(<module>)
       21    0.000    0.000    0.003    0.000 socket.py:412(_real_close)
       12    0.000    0.000    0.003    0.000 enum.py:389(_create_)
        1    0.000    0.000    0.003    0.003 api.py:1(<module>)
      618    0.001    0.000    0.003    0.000 _inspect.py:98(getargspec)
      273    0.000    0.000    0.003    0.000 function_base.py:441(add_newdoc)
       21    0.003    0.000    0.003    0.000 {function socket.close at 0x000001E37BBA0048}
