WITHOUT ANY DATABASE

         122704 function calls (118559 primitive calls) in 7.704 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
      260    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.003    0.003 case.py:1(<module>)
      439    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 app.py:56(listUpdate)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
        1    0.000    0.000    0.003    0.003 app.py:129(images)
      142    0.000    0.000    0.003    0.000 enum.py:284(__call__)
       26    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
      233    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      569    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      273    0.000    0.000    0.003    0.000 function_base.py:441(add_newdoc)
      618    0.001    0.000    0.003    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.003    0.003 numerictypes.py:81(<module>)
        1    0.000    0.000    0.003    0.003 api.py:1(<module>)
       12    0.000    0.000    0.003    0.000 enum.py:389(_create_)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:29(<module>)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
      321    0.000    0.000    0.002    0.000 re.py:185(sub)
     10/8    0.000    0.000    0.002    0.000 __init__.py:2302(destroy)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        4    0.002    0.001    0.002    0.001 {built-in method nt.chdir}
        2    0.000    0.000    0.002    0.001 ttk.py:748(__init__)
        8    0.002    0.000    0.002    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
        1    0.000    0.000    0.002    0.002 quoprimime.py:27(<module>)
        1    0.000    0.000    0.002    0.002 type_check.py:3(<module>)
        2    0.000    0.000    0.002    0.001 shape_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
       23    0.000    0.000    0.002    0.000 overrides.py:200(decorator)
       16    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
     2335    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.002    0.002 polynomial.py:57(<module>)
      321    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      341    0.001    0.000    0.002    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.002    0.002 subprocess.py:42(<module>)
      131    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.002    0.002 charset.py:6(<module>)
      961    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFE347259A0}
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
4853/4845    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
       26    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      309    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      233    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      614    0.001    0.000    0.002    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:22(<module>)
     3876    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       59    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
        2    0.000    0.000    0.001    0.001 glob.py:9(glob)
        3    0.000    0.000    0.001    0.000 glob.py:39(_iglob)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        2    0.000    0.000    0.001    0.001 glob.py:79(_glob1)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 ttk.py:655(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:14(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
      412    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     9984    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    0.001    0.001 secrets.py:7(<module>)
      569    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      523    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      250    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
        3    0.000    0.000    0.001    0.000 __init__.py:340(__init__)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
     1648    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        1    0.000    0.000    0.001    0.001 scimath.py:17(<module>)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
      233    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
     1932    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
        1    0.000    0.000    0.001    0.001 error.py:12(<module>)
      999    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      569    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
       33    0.000    0.000    0.001    0.000 abc.py:125(__new__)
      251    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
  375/128    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      206    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.000    0.000    0.001    0.001 app.py:103(retrieveDB)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
      574    0.000    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.001    0.001 messagebox.py:25(<module>)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arraysetops.py:27(<module>)
     2986    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       12    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
        1    0.000    0.000    0.001    0.001 message.py:105(Message)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
     2535    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
     2053    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
     2068    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        2    0.000    0.000    0.001    0.000 fnmatch.py:48(filter)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
5616/5289    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.000    0.000    0.001    0.001 copy.py:49(<module>)
        2    0.000    0.000    0.001    0.000 fnmatch.py:38(_compile_pattern)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 request.py:940(AbstractBasicAuthHandler)
        3    0.000    0.000    0.001    0.000 glob.py:114(_iterdir)
